property,propertyLabel
http://www.wikidata.org/entity/P485,archives at
http://www.wikidata.org/entity/P486,MeSH ID
http://www.wikidata.org/entity/P487,Unicode character
http://www.wikidata.org/entity/P488,chairperson
http://www.wikidata.org/entity/P489,currency symbol description
http://www.wikidata.org/entity/P490,provisional designation
http://www.wikidata.org/entity/P491,orbit diagram
http://www.wikidata.org/entity/P492,OMIM ID
http://www.wikidata.org/entity/P493,ICD-9
http://www.wikidata.org/entity/P494,ICD-10
http://www.wikidata.org/entity/P495,country of origin
http://www.wikidata.org/entity/P496,ORCID iD
http://www.wikidata.org/entity/P497,CBDB ID
http://www.wikidata.org/entity/P498,ISO 4217 code
http://www.wikidata.org/entity/P500,exclave of
http://www.wikidata.org/entity/P501,enclave within
http://www.wikidata.org/entity/P502,HURDAT identifier
http://www.wikidata.org/entity/P503,ISO standard
http://www.wikidata.org/entity/P504,home port
http://www.wikidata.org/entity/P505,general manager
http://www.wikidata.org/entity/P506,ISO 15924 alpha-4 code
http://www.wikidata.org/entity/P507,Swedish county code
http://www.wikidata.org/entity/P508,BNCF Thesaurus
http://www.wikidata.org/entity/P509,cause of death
http://www.wikidata.org/entity/P511,honorific prefix
http://www.wikidata.org/entity/P512,academic degree
http://www.wikidata.org/entity/P514,interleaves with
http://www.wikidata.org/entity/P515,phase of matter
http://www.wikidata.org/entity/P516,powerplant
http://www.wikidata.org/entity/P517,interaction
http://www.wikidata.org/entity/P518,applies to part
http://www.wikidata.org/entity/P520,armament
http://www.wikidata.org/entity/P521,scheduled service destination
http://www.wikidata.org/entity/P522,type of orbit
http://www.wikidata.org/entity/P523,temporal range start
http://www.wikidata.org/entity/P524,temporal range end
http://www.wikidata.org/entity/P525,Swedish municipality code
http://www.wikidata.org/entity/P527,has part
http://www.wikidata.org/entity/P528,catalog code
http://www.wikidata.org/entity/P529,runway
http://www.wikidata.org/entity/P530,diplomatic relation
http://www.wikidata.org/entity/P531,diplomatic mission sent
http://www.wikidata.org/entity/P532,port of registry
http://www.wikidata.org/entity/P533,target
http://www.wikidata.org/entity/P534,streak color
http://www.wikidata.org/entity/P535,Find a Grave grave ID
http://www.wikidata.org/entity/P536,ATP player ID
http://www.wikidata.org/entity/P537,twinning
http://www.wikidata.org/entity/P538,fracturing
http://www.wikidata.org/entity/P539,Museofile
http://www.wikidata.org/entity/P541,office contested
http://www.wikidata.org/entity/P542,officially opened by
http://www.wikidata.org/entity/P543,oath made by
http://www.wikidata.org/entity/P545,torch lit by
http://www.wikidata.org/entity/P546,docking port
http://www.wikidata.org/entity/P547,commemorates
http://www.wikidata.org/entity/P548,version type
http://www.wikidata.org/entity/P549,Mathematics Genealogy Project ID
http://www.wikidata.org/entity/P550,chivalric order
